# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	T	V	drive_imp	wheel_imp
3.14	0.0144851	-0.00700531	0.0305822	-0.0291909	-0.0701785	-0.000194926	0.574948	22.2577	2955.38	-0.775656	-5.35845
3.16	0.0149233	-0.0077148	0.0305822	0.0263013	-0.0354744	0	0.480006	19.043	2955.29	0.603309	3.68807
3.18	0.0146286	-0.00893051	0.0305783	-0.0176654	-0.0607851	-0.000195019	0.549325	21.2793	2955.27	-0.358296	-3.09817
3.2	0.0148044	-0.00977753	0.0305783	0.0105605	-0.0423511	0	0.498701	19.5958	2955.19	0.33305	1.85876
3.22	0.0145348	-0.0108816	0.0305763	-0.0161685	-0.0552035	-9.74163e-05	0.532971	20.7004	2954.99	-0.193397	-2.88486
3.24	0.0145606	-0.0116561	0.0305744	0.00156511	-0.0387261	-9.75095e-05	0.488	19.2496	2954.94	0.26068	0.779398
3.26	0.0142191	-0.0125722	0.0305724	-0.0204761	-0.0458051	-9.75095e-05	0.506648	19.8255	2954.99	-0.0822976	-3.75788
3.28	0.0140538	-0.0130396	0.0305724	-0.00990508	-0.0233702	0	0.445976	18.0793	2954.74	0.3841	-0.735488
3.3	-0.0476344	-0.0134592	0.0305802	-0.0289677	-0.0209764	0.000389945	0.437741	17.8861	2954.83	0.268366	-5.50313
3.32	-0.0483114	-0.0131844	0.0305822	-0.0406262	0.0137387	9.75095e-05	0.341631	15.7793	2954.88	0.209298	-7.16325
3.34	-0.0491172	-0.0119991	0.0305744	-0.0483513	0.0592647	-0.000389945	0.215728	14.1268	2954.91	-0.961445	-7.41267
3.36	-0.0488005	-0.00986311	0.0305471	0.0189937	0.106799	-0.00136551	0.0864002	13.5677	2954.94	2.52638	7.53795
3.38	-0.0513528	-0.00866474	0.0305783	-0.153147	0.0599184	0.00156043	0.224633	14.6725	2955.03	-3.24196	-7.98921
3.4	-0.0501962	-0.00652003	0.0305724	0.0693984	0.107236	-0.000292435	0.0816955	13.5145	2955.15	2.20353	7.90736
3.42	-0.051625	-0.0054203	0.0305958	-0.0857339	0.0549864	0.00116955	0.225332	14.2258	2955.2	-2.88	-7.92594
3.44	0.0114587	-0.00329771	0.0305861	0.112699	0.106129	-0.000487175	0.0850281	13.549	2955.26	1.26441	7.96886
3.46	0.0117463	-0.00222777	0.0305451	0.0172686	0.053497	-0.00204789	0.229644	13.9598	2955.36	1.75227	6.96013
3.48	0.00995447	-0.00208158	0.0305002	-0.107484	0.00730973	-0.00224607	0.356734	16.1411	2955.41	-2.54633	-7.98411
3.5	0.0111175	-0.000912845	0.0304552	0.0698082	0.0584366	-0.00224942	0.217221	13.8831	2955.48	1.15798	7.79408
3.52	0.0108137	-0.000783738	0.030416	-0.0181663	0.00645535	-0.00195866	0.359929	15.9148	2955.53	0.517983	-0.738025
3.54	0.0100709	-0.000578178	0.0303886	-0.0444981	0.010278	-0.00137258	0.350789	15.8301	2955.58	-0.563038	-7.24554
3.56	0.0101388	0.000548634	0.030369	0.00412316	0.0563406	-0.000981148	0.224337	14.0336	2955.61	1.54079	6.4529
3.58	0.00839476	0.000805588	0.0303886	-0.104565	0.0128477	0.000981148	0.341127	16.0167	2955.62	-2.7122	-7.97784
3.6	0.00975863	0.00209477	0.030365	0.0818784	0.064459	-0.00117747	0.205101	13.9381	2955.53	1.00925	7.88595
3.62	0.00980799	0.0023297	0.0303454	0.00304745	0.0117467	-0.000981987	0.348122	15.8118	2955.45	0.671538	5.22359
3.64	0.00898208	0.00185453	0.0303964	-0.0494519	-0.0237587	0.00255173	0.445081	18.1589	2955.3	-0.957508	-7.58784
3.66	0.00939127	0.00235953	0.0304728	0.0246035	0.0252499	0.00381954	0.312527	15.2489	2955.27	0.882655	6.97334
3.68	0.00876712	0.00195148	0.0304513	-0.0373877	-0.0204025	-0.00107633	0.437267	17.9663	2955.3	-0.547644	-6.4179
3.7	0.00881955	0.00239022	0.0304258	0.00319936	0.0219374	-0.00127302	0.321964	15.4444	2955.27	0.856564	5.59637
3.72	0.00786235	0.00211506	0.0304219	-0.0573573	-0.0137584	-0.00019595	0.419969	17.5691	2955.33	-1.25557	-7.80404
3.74	0.00847693	0.00285763	0.030416	0.0369265	0.0371286	-0.000293925	0.28038	14.8185	2955.26	0.974275	7.44537
3.76	0.0079237	0.00265126	0.0304141	-0.0331166	-0.0103183	-9.79751e-05	0.410375	17.2758	2955.25	-0.350521	-5.45211
