# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	X	Y	T	V	drive_imp	wheel_imp
12.64	2.7423	0.058079	0.0930245	-0.935901	-0.327655	0.00308082	2.75867	0.208062	0.903631	38.1111	177.895	0.1	-0.1
12.65	2.72942	0.0560944	0.0936697	-1.43693	-0.19846	0.0645205	2.53978	0.218787	0.909871	36.2434	177.899	0.1	0
12.66	2.71254	0.0540156	0.0934266	-1.82422	-0.207885	-0.0243105	2.32771	0.229828	0.915205	34.7241	177.902	0.1	0
12.67	2.69151	0.0519319	0.0940323	-2.23645	-0.208364	0.060565	2.31774	0.240418	0.920917	33.313	177.887	0.1	-0.1
12.68	2.66658	0.0509869	0.0951913	-2.61195	-0.0944998	0.115902	2.07897	0.249243	0.926425	31.7489	177.902	-0.1	-0.1
12.69	2.65724	0.0521472	0.095249	-1.04301	0.116025	0.00576749	1.79888	0.256773	0.931383	32.5853	177.881	-0.1	0
12.7	2.66213	0.0544678	0.0945747	0.374268	0.23206	-0.0674225	1.81852	0.264158	0.935966	33.7952	177.846	-0.1	0.1
12.71	2.6724	0.056177	0.0943029	0.899216	0.170927	-0.0271797	2.00359	0.272324	0.941621	35.2372	177.81	-0.1	0.1
12.72	2.68749	0.0573139	0.0939732	1.36947	0.113681	-0.0329733	2.17195	0.281243	0.948216	36.7611	177.828	-0.1	0.1
12.73	2.70669	0.0578746	0.0932367	1.7692	0.0560764	-0.0736542	2.34556	0.291122	0.955209	38.3241	177.874	-0.1	0.1
12.74	2.72974	0.057794	0.0919324	2.14192	-0.00806153	-0.130424	2.58508	0.302194	0.962355	39.9341	177.891	0	0.1
12.75	2.74686	0.0565673	0.0912279	1.54057	-0.12267	-0.0704549	2.78899	0.314149	0.969951	39.9901	177.933	0.1	0
12.76	2.74891	0.0548284	0.0903192	0.0370052	-0.173886	-0.090871	2.87931	0.326328	0.976042	38.3144	177.954	0.1	0
12.77	2.73752	0.0522976	0.0907398	-1.29127	-0.253088	0.042063	2.70408	0.338406	0.982431	36.7543	177.947	0.1	0
12.78	2.72168	0.0498796	0.0910773	-1.73952	-0.241793	0.0337474	2.76427	0.350358	0.988135	35.285	177.929	0.1	0
12.79	2.70184	0.0472246	0.0916632	-2.12752	-0.265503	0.0585966	2.55847	0.362262	0.994127	33.8807	177.957	0.1	-0.1
12.8	2.67806	0.0455802	0.0930239	-2.50784	-0.164438	0.136064	2.32217	0.372547	0.999981	32.2925	177.978	-0.1	-0.1
12.81	2.66968	0.0461347	0.0937863	-0.961314	0.0554495	0.0762396	2.08816	0.381341	1.00532	33.0921	177.969	-0.1	0
12.82	2.67555	0.047725	0.0933601	0.461035	0.159034	-0.0426129	2.02331	0.390104	1.01031	34.2929	177.948	-0.1	0.1
12.83	2.68661	0.0488443	0.0935243	0.965574	0.111922	0.0164174	2.24405	0.399475	1.01623	35.7393	177.926	-0.1	0.1
12.84	2.70257	0.0493132	0.0934598	1.44231	0.0468969	-0.00644848	2.43306	0.409838	1.02288	37.2818	177.895	-0.1	0
12.85	2.72294	0.0503945	0.0922914	1.87639	0.108131	-0.116841	2.52613	0.420183	1.02862	38.621	177.862	-0.1	0.1
12.86	2.74732	0.0506792	0.091673	2.26937	0.0284679	-0.0618413	2.69376	0.431414	1.0356	40.2985	177.873	-0.1	0.1
12.87	2.77488	0.0502727	0.0906885	2.57962	-0.0406519	-0.0984527	2.85468	0.443739	1.04288	41.9972	177.938	0.1	0
12.88	2.78695	0.0493239	0.0896546	1.03832	-0.0948802	-0.10339	2.84308	0.456237	1.04876	40.1114	178	0.1	0
12.89	2.78474	0.0474442	0.0899729	-0.376094	-0.187975	0.0318311	2.72678	0.468847	1.05482	38.4918	178.006	0.1	0
12.9	2.77731	0.0457636	0.0900942	-0.902007	-0.168055	0.0121318	2.81615	0.481061	1.06014	36.9208	178	0.1	0
12.91	2.765	0.0437811	0.0910098	-1.37434	-0.198248	0.0915542	2.55702	0.493256	1.06579	35.4152	177.994	0.1	0
