# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	T	V	drive_imp	wheel_imp
0.094	0.0314123	-0.000170292	0.0326068	-0.0260131	-0.00326616	0.00182539	0.00775367	8.03271e-05	178.749	0	0
0.095	0.0314245	-0.00017344	0.0326068	0.0122104	-0.00314754	0	0.00864953	8.78663e-05	178.748	0	0
0.096	0.0313987	-0.000176764	0.032605	-0.0257176	-0.00332428	-0.00182539	0.00791022	0.000101273	178.748	0	0
0.097	0.0314113	-0.000180045	0.032605	0.0125417	-0.00328074	0	0.00860482	7.75747e-05	178.748	0	0
0.098	0.0313857	-0.000183401	0.032605	-0.025597	-0.00335652	0	0.00861939	6.28021e-05	178.748	0	0
0.099	0.0313984	-0.000186788	0.032605	0.0126664	-0.00338613	0	0.00869845	9.04522e-05	178.748	0	0
0.1	0.0313729	-0.000190217	0.032605	-0.0254735	-0.00342903	0	0.00880756	9.57336e-05	178.748	0	0
0.101	0.0313857	-0.000193709	0.032605	0.0127887	-0.00349252	0	0.00896432	7.54138e-05	178.748	0	0
0.102	0.0313603	-0.000197264	0.032605	-0.0253525	-0.00355534	0	0.00911884	8.46539e-05	178.748	0	0
0.103	0.0313732	-0.000200849	0.032605	0.0129084	-0.00358435	0	0.00919626	8.2939e-05	178.748	0	0
0.104	0.031348	-0.000204474	0.032605	-0.025234	-0.00362495	0	0.00929883	8.54575e-05	178.748	0	0
0.105	0.031361	-0.000208143	0.032605	0.0130257	-0.00366887	0	0.00941011	0.000118402	178.747	0	0
0.106	0.0313359	-0.00021186	0.032605	-0.0251178	-0.00371777	0	0.00953295	8.94851e-05	178.747	0	0
0.107	0.031349	-0.000215646	0.032605	0.013141	-0.00378514	0	0.00969784	8.7287e-05	178.747	0	0
0.108	0.031324	-0.000219469	0.032605	-0.0250036	-0.00382333	0	0.00979562	5.79951e-05	178.747	0	0
0.109	0.0313373	-0.000223335	0.032605	0.0132539	-0.00386653	0	0.00990535	9.08595e-05	178.747	0	0
0.11	0.0313124	-0.00022725	0.032605	-0.0248919	-0.0039146	0	0.0100256	7.07414e-05	178.747	0	0
0.111	0.0313258	-0.000231231	0.032605	0.0133644	-0.00398108	0	0.0101891	9.97074e-05	178.747	0	0
0.112	0.031301	-0.000235274	0.032605	-0.0247824	-0.00404332	0	0.0103418	0.000160278	178.747	0	0
0.113	0.0313145	-0.000239345	0.032605	0.0134729	-0.00407071	0	0.0104159	8.16761e-05	178.747	0	0
0.114	0.0312898	-0.000243466	0.032605	-0.024675	-0.00412118	0	0.0105408	6.21769e-05	178.747	0	0
0.115	0.0313034	-0.000247625	0.032605	0.0135794	-0.00415836	0	0.010637	9.23189e-05	178.747	0	0
0.116	0.0312788	-0.000251842	0.032605	-0.0245693	-0.00421715	0	0.0107811	6.39355e-05	178.747	0	0
0.117	0.0312925	-0.000256118	0.032605	0.0136842	-0.00427608	0	0.0109263	0.000126141	178.748	0	0
0.118	0.031268	-0.000260426	0.032605	-0.0244658	-0.00430786	0	0.0110092	6.58175e-05	178.748	0	0
0.119	0.0312818	-0.000264788	0.032605	0.0137864	-0.00436231	0	0.0111458	8.48146e-05	178.748	0	0
0.12	0.0312574	-0.000269191	0.032605	-0.0243645	-0.00440306	0	0.0112487	8.16153e-05	178.747	0	0
0.121	0.0312713	-0.000273641	0.032605	0.0138869	-0.00444968	0	0.0113667	0.000116587	178.747	0	0
0.122	0.0312471	-0.000278136	0.032605	-0.024265	-0.00449538	0	0.011478	9.60084e-05	178.747	0	0
0.123	0.031261	-0.000282681	0.032605	0.0139855	-0.00454445	0	0.0116011	0.000110092	178.747	0	0
0.124	0.0312369	-0.000287277	0.032605	-0.0241673	-0.00459614	0	0.0117295	8.33894e-05	178.747	0	0
0.125	0.031251	-0.000291926	0.032605	0.0140821	-0.00464945	0	0.0118635	9.86296e-05	178.746	0	0
0.126	0.0312269	-0.000296649	0.032605	-0.0240716	-0.00472326	0	0.0120421	0.000102891	178.747	0	0
0.127	0.0312411	-0.000301439	0.032605	0.0141769	-0.00478979	0	0.0122059	0.000222143	178.747	0	0
0.128	0.0312171	-0.000306283	0.032605	-0.0239777	-0.00484407	0	0.0123405	0.000203971	178.748	0	0
0.129	0.0312313	-0.000311154	0.0326031	0.01427	-0.00487041	-0.00182912	0.0124117	9.17268e-05	178.748	0	0
0.13	0.0312075	-0.000316066	0.0326031	-0.0238854	-0.00491217	0	0.0125182	9.21812e-05	178.748	0	0
0.131	0.0312218	-0.000321043	0.0326031	0.0143615	-0.00497757	0	0.0126776	9.36372e-05	178.748	0	0
0.132	0.031198	-0.000326063	0.0326031	-0.0237947	-0.00501977	0	0.0127854	8.9781e-05	178.747	0	0
0.133	0.0312125	-0.000331133	0.0326031	0.0144512	-0.00506977	0	0.0129094	0.000121773	178.747	0	0
0.134	0.0311888	-0.000336274	0.0326031	-0.023706	-0.00514145	0	0.0130835	8.29803e-05	178.747	0	0
0.135	0.0312033	-0.000341484	0.0326031	0.014539	-0.00520956	0	0.0132504	0.000162901	178.748	0	0
0.136	0.0311797	-0.000346726	0.0326031	-0.0236189	-0.00524177	0	0.0133338	8.00766e-05	178.748	0	0
0.137	0.0311943	-0.000352012	0.0326031	0.0146253	-0.00528659	0	0.0134467	0.000118198	178.747	0	0
0.138	0.0311708	-0.000357349	0.0326031	-0.0235336	-0.0053368	0	0.0135702	0.000111578	178.747	0	0
0.139	0.0311855	-0.000362738	0.0326013	0.0147099	-0.00538916	-0.00182912	0.0136995	0.000127583	178.747	0	0
0.14	0.031162	-0.000368183	0.0326013	-0.0234498	-0.00544489	0	0.0138373	0.00010418	178.747	0	0
0.141	0.0311768	-0.000373705	0.0326013	0.0147928	-0.00552129	0	0.0140228	0.000122153	178.747	0	0
0.142	0.0311535	-0.000379296	0.0326013	-0.0233677	-0.00559183	0	0.0141934	0.000195899	178.747	0	0
0.143	0.0311683	-0.000384945	0.0326013	0.0148741	-0.00564862	0	0.0143346	0.00021988	178.748	0	0
0.144	0.0311451	-0.000390622	0.0326013	-0.023287	-0.00567708	0	0.0144081	8.81082e-05	178.748	0	0
0.145	0.03116	-0.000396342	0.0326013	0.014954	-0.00571975	0	0.0145166	0.000129409	178.748	0	0
0.146	0.0311368	-0.000402091	0.0326013	-0.0232062	-0.00574964	0	0.0149083	9.03198e-05	178.748	0	0
0.147	0.0311518	-0.000407947	0.0326013	0.0150341	-0.00585572	0	0.0148469	0.000138283	178.748	0	0
0.148	0.0311287	-0.000413864	0.0326013	-0.0231287	-0.00591704	0	0.0149952	0.000143934	178.748	0	0
0.149	0.0311438	-0.000419835	0.0326013	0.0151108	-0.00597053	0	0.0151292	0.00014362	178.748	0	0
0.15	0.0311208	-0.000425858	0.0326013	-0.0230527	-0.00602362	0	0.0152597	0.000108202	178.749	0	0
0.151	0.031136	-0.000431937	0.0326013	0.0151861	-0.00607863	0	0.0153959	0.000115847	178.749	0	0
0.152	0.031113	-0.000438074	0.0326013	-0.0229781	-0.0061368	0	0.0155391	9.92717e-05	178.749	0	0
0.153	0.0311282	-0.000444247	0.0326013	0.0152601	-0.00617327	0	0.0156316	0.00015817	178.748	0	0
0.154	0.0311053	-0.00045047	0.0326013	-0.0229047	-0.00622307	0	0.0157545	0.000184341	178.748	0	0
0.155	0.0311207	-0.000456768	0.0326013	0.0153328	-0.00629795	0	0.0159341	0.000120235	178.748	0	0
0.156	0.0310978	-0.000463114	0.0326013	-0.0228327	-0.00634592	0	0.0160538	0.000137736	178.748	0	0
0.157	0.0311132	-0.000469534	0.0326013	0.0154041	-0.00641975	0	0.0162321	0.000118647	178.748	0	0
0.158	0.0310905	-0.000476002	0.0326013	-0.0227622	-0.00646783	0	0.0163509	0.000125086	178.747	0	0
0.159	0.0311059	-0.000482524	0.0326013	0.015474	-0.00652226	0	0.0164845	0.000153508	178.747	0	0
0.16	0.0310833	-0.000489105	0.0326013	-0.022693	-0.00658166	0	0.016629	0.000139356	178.747	0	0
0.161	0.0310988	-0.000495769	0.0326013	0.0155424	-0.00666402	0	0.0168273	0.000133199	178.747	0	0
0.162	0.0310762	-0.000502481	0.0326013	-0.0226251	-0.00671117	0	0.0169437	0.000113333	178.747	0	0
0.163	0.0310918	-0.000509264	0.0326013	0.0156098	-0.00678329	0	0.0171181	0.000135468	178.747	0	0
0.164	0.0310692	-0.000516121	0.0326013	-0.0225583	-0.00685709	0	0.0172954	0.000173356	178.748	0	0
0.165	0.0310849	-0.000523043	0.0326013	0.0156759	-0.00692171	0	0.0174529	0.000205724	178.748	0	0
0.166	0.0310624	-0.000530023	0.0326013	-0.0224928	-0.00698003	0	0.0175957	0.000165935	178.748	0	0
0.167	0.0310782	-0.000537037	0.0326013	0.0157407	-0.0070142	0	0.0176826	0.000139565	178.748	0	0
0.168	0.0310557	-0.000544115	0.0326013	-0.0224288	-0.00707799	0	0.017837	0.000123052	178.748	0	0
0.169	0.0310715	-0.000551266	0.0326013	0.015804	-0.00715128	0	0.0180139	0.000139451	178.748	0	0
0.17	0.0310492	-0.000558487	0.0326013	-0.0223661	-0.00722107	0	0.0181825	0.000145312	178.748	0	0
0.171	0.031065	-0.000565747	0.0326013	0.0158662	-0.00725995	0	0.018281	0.000153821	178.748	0	0
0.172	0.0310427	-0.00057306	0.0326013	-0.0223043	-0.00731274	0	0.0184085	0.000179389	178.748	0	0
0.173	0.0310586	-0.000580434	0.0326013	0.0159275	-0.0073741	0	0.0185582	0.000200992	178.747	0	0
0.174	0.0310364	-0.000587875	0.0325995	-0.0222437	-0.00744051	-0.00182912	0.0187182	0.000179354	178.747	0	0
