# t	p	dpdt	w	dwdt	ctrl	T	V
4.51598	-0.0205903	-0.00546147	-2.01295	-0.35022	0	0.0754073	196.158
4.5496	-0.0211946	-0.0306101	-2.02236	-0.20936	0	0.0591053	196.156
4.58312	-0.0226566	-0.0569173	-2.02697	-0.0644474	0	0.0493492	196.15
4.61659	-0.0250319	-0.0854747	-2.02711	0.0341826	-10	0.0620185	196.139
4.65014	-0.0246697	0.107144	-2.04214	-0.925899	0	0.18961	196.14
4.68366	-0.0215536	0.079435	-2.07062	-0.775928	0	0.147748	196.154
4.71715	-0.0193104	0.0549349	-2.09427	-0.637609	0	0.113697	196.163
4.75067	-0.0178477	0.0326345	-2.11344	-0.50724	0	0.0859574	196.169
4.78426	-0.0171072	0.0116108	-2.12835	-0.381406	0	0.0636458	196.171
4.81787	-0.0170628	-0.00895876	-2.13909	-0.25718	0	0.0463952	196.171
4.85135	-0.0177097	-0.02981	-2.14561	-0.132122	0	0.0342391	196.169
4.88489	-0.0190754	-0.0519018	-2.14789	-0.00247735	0	0.0274555	196.164
4.91843	-0.0212146	-0.0760881	-2.14718	0.0409617	0	0.0463528	196.156
4.95187	-0.0242029	-0.103253	-2.14502	0.090443	-10	0.0737674	196.143
4.98549	-0.0244175	0.0904418	-2.15828	-0.874131	0	0.185917	196.142
5.01901	-0.0218596	0.0626924	-2.18503	-0.724	0	0.146086	196.153
5.05256	-0.0201853	0.0374403	-2.20694	-0.582865	0	0.113597	196.16
5.08608	-0.0193307	0.0137278	-2.22419	-0.447371	0	0.0874006	196.163
5.11969	-0.0192598	-0.00950102	-2.23698	-0.313482	0	0.0668629	196.164
5.15321	-0.0199706	-0.0330457	-2.24524	-0.17859	0	0.052064	196.161
5.18687	-0.0214978	-0.0580247	-2.24891	-0.0383018	0	0.0433633	196.155
5.22049	-0.0238998	-0.0853343	-2.24854	0.0408687	-10	0.0597921	196.144
5.25403	-0.0235099	0.108665	-2.26344	-0.924266	0	0.186298	196.146
5.28766	-0.0203099	0.0823079	-2.29203	-0.779036	0	0.145109	196.16
5.32131	-0.0179355	0.0592686	-2.31598	-0.64579	0	0.111427	196.168
5.35487	-0.0162973	0.0387002	-2.33555	-0.521659	0	0.0839049	196.174
5.38845	-0.0153203	0.0196824	-2.35106	-0.403113	0	0.061516	196.177
5.42201	-0.0149664	0.00147271	-2.36265	-0.287528	0	0.043798	196.178
5.45564	-0.0152218	-0.0167123	-2.37038	-0.171939	0	0.0305452	196.177
5.48924	-0.016097	-0.0355599	-2.37419	-0.0539872	0	0.0219262	196.175
