# t	p	dpdt	w	dwdt	ctrl	T	V
9.90245	-0.00609788	-0.0280517	-0.0202989	0.00272167	-20	0.00756766	196.196
9.93592	0.000325668	0.413215	-0.0565017	-2.166	20	0.70773	196.2
9.96959	0.00675681	-0.0298224	-0.0910847	0.104792	0	0.00243319	196.196
10.0031	0.0058869	-0.0222219	-0.088518	0.0495202	0	0.0018852	196.197
10.0367	0.00525608	-0.0155242	-0.0876895	0.00081247	0	0.00235991	196.197
10.0702	0.00483856	-0.00945548	-0.087868	-0.00599797	0	0.0011407	196.198
10.1039	0.00461698	-0.00374839	-0.08807	-0.00599797	0	0.000250221	196.198
10.1375	0.00458423	0.00179199	-0.0882715	-0.00599797	0	8.90611e-06	196.198
10.171	0.00473741	0.00738706	-0.0884724	-0.00599797	0	0.000388246	196.198
10.2047	0.00508537	0.013323	-0.0886746	-0.00599797	0	0.00147516	196.197
10.2383	0.00564091	0.0197945	-0.0888765	-0.00599797	0	0.00346311	196.197
10.2719	0.00642369	0.0270457	-0.0890777	-0.00599797	20	0.00668564	196.196
10.3054	-5.0699e-05	-0.414604	-0.0528848	2.16507	-20	0.706516	196.2
10.3389	-0.00652795	0.0265284	-0.0183353	-0.0955692	0	0.00192	196.196
10.3724	-0.00576483	0.0191409	-0.0206205	-0.0418457	0	0.00142302	196.197
10.406	-0.00523542	0.0125268	-0.0212156	0.00151612	0	0.00164644	196.197
10.4395	-0.00491872	0.00642305	-0.0211648	0.00151612	0	0.000452772	196.198
10.4732	-0.0048016	0.000557028	-0.0211137	0.00151612	0	7.74507e-06	196.198
10.5069	-0.00488107	-0.00529027	-0.0210626	0.00151612	0	0.000249052	196.198
10.5405	-0.00515944	-0.0113364	-0.0210117	0.00151612	0	0.00121766	196.197
10.5741	-0.00564857	-0.0178508	-0.0209607	0.00151612	0	0.00307953	196.197
10.6076	-0.00636348	-0.02505	-0.02091	0.00151612	-20	0.00612436	196.196
10.6413	0.000253046	0.419062	-0.0576422	-2.18144	20	0.716771	196.2
10.675	0.00687988	-0.0244689	-0.0927407	0.0919135	0	0.00163784	196.195
10.7087	0.00618923	-0.016556	-0.0906246	0.0343698	0	0.00111466	196.196
10.7424	0.00575508	-0.00935944	-0.0902966	-0.00488686	0	0.00107208	196.197
10.7759	0.00555586	-0.00255964	-0.0904605	-0.00488686	0	0.000128686	196.197
10.8095	0.00558228	0.00413932	-0.0906245	-0.00488686	0	0.000103563	196.197
10.8431	0.00583594	0.011014	-0.0907887	-0.00488686	0	0.00101092	196.197
10.8767	0.00632751	0.0183399	-0.0909529	-0.00488686	0	0.00301818	196.196
